eDensity,X
none,none
5.3491601e+8,-0.40215889
5.0835334e+8,-0.39991218
4.8312367e+8,-0.3976655
4.591582e+8,-0.39541879
4.3639198e+8,-0.39317209
4.1476369e+8,-0.39092541
3.9421538e+8,-0.3886787
3.7469221e+8,-0.38643199
3.5614229e+8,-0.38418531
3.3851644e+8,-0.38193861
3.2176803e+8,-0.3796919
3.0585301e+8,-0.37744522
2.9072952e+8,-0.37519851
2.763577e+8,-0.37295181
2.6269996e+8,-0.37070513
2.4972048e+8,-0.36845842
2.3738544e+8,-0.36621171
2.256626e+8,-0.36396503
2.1452132e+8,-0.36171833
2.0393257e+8,-0.35947162
1.9386887e+8,-0.35722494
1.8430404e+8,-0.35497823
1.6657272e+8,-0.35048488
1.6657266e+8,-0.35048485
1.505542e+8,-0.34599146
1.5055414e+8,-0.34599143
1.360824e+8,-0.34149808
1.3608235e+8,-0.34149805
1.1119372e+8,-0.33251128
1.1119363e+8,-0.33251125
90873663,-0.3235245
90873588,-0.32352448
60728981,-0.30555093
60728869,-0.30555087
40615271,-0.28757736
40615196,-0.2875773
18210854,-0.25163028
18210771,-0.25163013
8192249.7,-0.21568312
8192213,-0.21568298
3697173.9,-0.17973594
3697157.6,-0.17973581
1671862.1,-0.14378878
1671854.8,-0.14378865
1123299.8,-0.12581514
1123297.9,-0.12581506
753502.02,-0.10784156
753500.71,-0.10784149
503812.64,-0.089867972
503811.77,-0.089867905
411082.49,-0.080881156
411082.17,-0.080881119
334796.48,-0.071894363
334796.22,-0.071894325
301867.12,-0.067400947
301867.01,-0.067400932
271991.79,-0.062907547
271991.68,-0.062907532
244884.83,-0.058414157
244884.74,-0.058414139
220287.87,-0.053920764
220287.79,-0.053920746
208855.06,-0.051674053
208855.03,-0.051674046
200689.66,-0.049999975
200689.63,-0.049999967
0,-0.049999967
0,-0.049427353
0,-0.049427349
0,-0.04718066
0,-0.047180653
0,-0.04493396
0,-0.044933952
0,-0.040440578
0,-0.040440559
0,-0.035947181
0,-0.035947163
0,-0.033700474
0,-0.033700466
0,-0.031453773
0,-0.031453766
0,-0.030000346
0,-0.03000034
0,-0.03000034
0,-0.029207073
0,-0.029207069
0,-0.026960382
0,-0.026960373
0,-0.024713684
