hQuasiFermiPotential,X
none,none
-0.11903893,0.44336468
-0.11904853,0.44336474
-0.11904853,0.45752349
-0.11903912,0.45752355
3.4955752,0.47168231
3.4955752,0.47168237
0.98330571,0.48584113
0.98330563,0.48584118
3.4650189,0.49999994
3.4650096,0.5
3.4516589,0.51315784
3.451668,0.5131579
-0.11903943,0.52631575
-0.11903945,0.52631581
3.4100045,0.53947365
3.4100044,0.53947371
3.3985596,0.55263156
3.3985463,0.55263162
0.99521252,0.56578946
0.99521252,0.56578952
-0.11905284,0.57894737
-0.11903975,0.57894742
3.3681358,0.60526305
3.3681227,0.60526317
3.3431371,0.64473671
3.3431371,0.64473689
-0.11905284,0.68421036
-0.11905284,0.68421054
3.2800978,0.72368407
3.2801106,0.72368425
3.2706403,0.76315773
3.2706402,0.7631579
3.2439726,0.8223682
3.2439726,0.82236844
-0.11904017,0.88157868
-0.11905284,0.88157892
1.0076276,0.94078922
1.007632,0.94078946
3.1999087,0.99999976
3.1999086,1
3.2089002,1.0624998
3.2089083,1.0625
3.2069148,1.1249998
3.2069023,1.125
1.0541634,1.1874998
1.054176,1.1875
0.99297753,1.2499998
0.99297764,1.25
1.0158753,1.3124998
1.0158754,1.3125
3.317885,1.3749998
3.3178851,1.375
3.3945777,1.4999998
3.3945713,1.5
1.0032164,1.7499995
1.0032185,1.75
3.874616,1.9999995
3.874616,2
4.1606202,2.2499995
4.1606181,2.25
0.98650526,2.4999995
0.98650737,2.5
0.98383888,2.7499995
0.98384611,2.75
0.97187954,2.9999995
0.97188019,3
-0.11904284,3.2499995
-0.11904218,3.25
0.98147084,3.4999995
0.98147149,3.5
1.0517441,3.7499995
1.0517349,3.75
1.4062136,3.9999995
1.4062143,4
1.7556871,4.2499995
1.7556877,4.25
2.0985904,4.4999995
2.0985911,4.5
2.4336771,4.7499995
2.4336778,4.75
2.7599637,4.9999995
2.7599643,5
3.0766865,5.2499995
3.0766871,5.25
3.3832674,5.4999995
3.383268,5.5
3.6792853,5.7499995
3.6792858,5.75
3.9644528,5.9999995
3.9644533,6
4.2385964,6.2499995
4.2385969,6.25
4.5016396,6.4999995
4.5016401,6.5
4.7535882,6.7499995
4.7535887,6.75
4.9945179,6.9999995
4.9945184,7
5.2245629,7.2499995
5.2245633,7.25
5.4439063,7.4999995
5.4439067,7.5
5.6527719,7.7499995
5.6527723,7.75
5.8514161,7.9999995
5.8514165,8
6.0401218,8.25
6.2191925,8.5
6.3889469,8.75
6.5497149,9
6.7018336,9.25
6.8456438,9.5
6.9814873,9.75
7.1097046,10
7.2306326,10.25
7.3446028,10.5
7.4519402,10.75
7.5529617,11
7.6479754,11.25
7.7372799,11.5
7.8211635,11.75
7.8999039,12
7.973768,12.25
8.0430116,12.5
8.1078791,12.75
8.1686041,13
8.2254089,13.25
8.2785048,13.5
8.3280923,13.75
8.3743615,14
