SpaceCharge,X
none,none
8.9352016e+11,-0.40215889
9.5138995e+11,-0.39991218
1.0130277e+12,-0.3976655
1.0786775e+12,-0.39541879
1.1485996e+12,-0.39317209
1.223071e+12,-0.39092541
1.3023871e+12,-0.3886787
1.3868625e+12,-0.38643199
1.4768324e+12,-0.38418531
1.5726539e+12,-0.38193861
1.6747078e+12,-0.3796919
1.7833983e+12,-0.37744522
1.8991573e+12,-0.37519851
2.022445e+12,-0.37295181
2.153751e+12,-0.37070513
2.2935973e+12,-0.36845842
2.4425387e+12,-0.36621171
2.6011668e+12,-0.36396503
2.7701134e+12,-0.36171833
2.9500501e+12,-0.35947162
3.141691e+12,-0.35722494
3.3457981e+12,-0.35497823
3.7947151e+12,-0.35048488
3.7947167e+12,-0.35048485
4.3039489e+12,-0.34599146
4.3039508e+12,-0.34599143
4.8816149e+12,-0.34149808
4.881617e+12,-0.34149805
6.2803156e+12,-0.33251128
6.2803208e+12,-0.33251125
8.0804157e+12,-0.3235245
8.0804224e+12,-0.32352448
1.3379745e+13,-0.30555093
1.3379765e+13,-0.30555087
2.216397e+13,-0.28757736
2.2164002e+13,-0.2875773
6.0928248e+13,-0.25163028
6.0928391e+13,-0.25163013
1.6837579e+14,-0.21568312
1.6837619e+14,-0.21568298
4.7177602e+14,-0.17973594
4.7177713e+14,-0.17973581
1.3724346e+15,-0.14378878
1.3724379e+15,-0.14378865
2.4369504e+15,-0.12581514
2.4369542e+15,-0.12581506
4.5369755e+15,-0.10784156
4.5369831e+15,-0.10784149
9.2228696e+15,-0.089867972
9.2228862e+15,-0.089867905
1.4059673e+16,-0.080881156
1.405969e+16,-0.080881119
2.2940102e+16,-0.071894363
2.2940133e+16,-0.071894325
3.0545895e+16,-0.067400947
3.0545921e+16,-0.067400932
4.2200956e+16,-0.062907547
4.2200995e+16,-0.062907532
6.1348141e+16,-0.058414157
6.1348203e+16,-0.058414139
9.6027432e+16,-0.053920764
9.602754e+16,-0.053920746
1.254662e+17,-0.051674053
1.2546629e+17,-0.051674046
1.5693225e+17,-0.049999975
1.5693234e+17,-0.049999967
0,-0.049999967
0,-0.049427353
0,-0.049427349
0,-0.04718066
0,-0.047180653
0,-0.04493396
0,-0.044933952
