Phosphorus,X
SELECTED,none
1.1070746e+17,0.050000001
1.2019979e+17,0.063725002
1.2283831e+17,0.07745
9.801507e+16,0.1101
7.2885154e+16,0.12951
4.9562217e+16,0.14892
3.0161634e+16,0.172005
1.834017e+16,0.19509
1.336039e+16,0.2088175
9.4795487e+15,0.222545
6.4794752e+15,0.2362725
4.2419606e+15,0.25
2.6124886e+15,0.2641575
2.0107971e+15,0.27123624
1.5308881e+15,0.27831501
1.1530884e+15,0.28539374
8.5955727e+14,0.29247251
6.3437611e+14,0.29955125
4.636401e+14,0.30662999
2.9494671e+14,0.31664249
1.8517172e+14,0.326655
1.1506619e+14,0.33666751
7.1026911e+13,0.34667999
4.3734605e+13,0.35669249
2.6995277e+13,0.366705
1.6806695e+13,0.37671751
1.0642973e+13,0.38672999
7.7682375e+12,0.39380938
5.7487718e+12,0.40088874
4.3180391e+12,0.40796813
3.2890542e+12,0.4150475
2.053858e+12,0.42920625
1.3784138e+12,0.44336501
9.9138285e+11,0.45752376
7.4908536e+11,0.47168249
4.8516639e+11,0.5
3.4329992e+11,0.52631497
2.4973945e+11,0.55263001
1.8414997e+11,0.57894498
1.3678065e+11,0.60526001
8.8657422e+10,0.64473498
5.81112e+10,0.68421
3.9476794e+10,0.72368503
2.5668248e+10,0.76315999
1.5132452e+10,0.82236999
1.0152718e+10,0.88158
1.0030388e+10,1
1.0030019e+10,1.25
1.0030018e+10,1.5
1.0030017e+10,1.75
1.0030017e+10,2
1.0030017e+10,2.25
1.0030016e+10,2.5
1.0030016e+10,2.75
1.0030016e+10,3
1.0030015e+10,3.25
1.0030015e+10,3.5
1.0030014e+10,3.75
1.0030012e+10,4
1.0030011e+10,4.25
1.003001e+10,4.375
1.0030008e+10,4.5
1.0030007e+10,4.625
1.0030006e+10,4.6875
1.0030005e+10,4.75
1.0030004e+10,4.8125
1.0030004e+10,4.84375
1.0030003e+10,4.875
1.0030003e+10,4.90625
1.0030002e+10,4.921875
1.0030003e+10,4.9375
1.0030016e+10,4.953125
1.0030061e+10,4.9609375
1.0030178e+10,4.96875
1.0030432e+10,4.9765625
1.0030846e+10,4.984375
1.0031062e+10,4.9882813
1.0031255e+10,4.9921875
1.0031392e+10,4.9960938
1.0031431e+10,4.9980469
1.0031447e+10,4.9999995
0,4.9999995
0,5.0019531
0,5.0039063
0,5.0078125
0,5.0117188
0,5.015625
0,5.0234375
0,5.03125
0,5.0390625
0,5.046875
0,5.0625
0,5.078125
0,5.09375
0,5.125
0,5.15625
0,5.1875
0,5.25
0,5.3125
0,5.375
0,5.5
0,5.625
0,5.75
0,6
0,6.25
0,6.5
0,6.75
0,7
0,7.25
0,7.5
0,7.75
0,8
0,8.25
0,8.5
0,8.75
0,8.999999
0,9.249999
0,9.499999
0,9.749999
0,9.999999
0,10.25
0,10.5
0,10.75
0,11
0,11.25
0,11.5
0,11.75
0,12
0,12.25
0,12.5
0,12.75
0,13
0,13.25
0,13.5
0,13.75
0,14
0,14.25
0,14.5
0,14.75
0,15
0,15.25
0,15.5
0,15.75
0,16
0,16.25
0,16.5
0,16.75
0,17
0,17.25
0,17.5
0,17.75
0,18
0,18.25
0,18.5
0,18.75
0,19
0,19.25
0,19.5
0,19.75
0,20
0,20.1

