ElectrostaticPotential,X
SELECTED,none
-0.28164093,-0.062907547
-0.28164094,-0.062907532
-0.28435497,-0.058414157
-0.28435498,-0.058414139
-0.28709148,-0.053920764
-0.28709149,-0.053920746
-0.28846925,-0.051674053
-0.28846926,-0.051674046
-0.28950025,-0.049999975
-0.28950026,-0.049999967
-0.28950026,-0.049999967
-0.29005139,-0.049427353
-0.2900514,-0.049427349
-0.292213,-0.04718066
-0.292213,-0.047180653
-0.29437327,-0.04493396
-0.29437327,-0.044933952
-0.29868969,-0.040440578
-0.29868971,-0.040440559
-0.3030004,-0.035947181
-0.30300042,-0.035947163
-0.30515352,-0.033700474
-0.30515353,-0.033700466
-0.3073051,-0.031453773
-0.30730511,-0.031453766
-0.30869617,-0.030000346
-0.30869618,-0.03000034
-0.30869618,-0.03000034
-0.31015579,-0.029207073
-0.3101558,-0.029207069
-0.31428863,-0.026960382
-0.31428865,-0.026960373
-0.31841982,-0.024713684
-0.31841984,-0.024713675
-0.32254929,-0.022466986
-0.32254931,-0.022466976
-0.33080285,-0.017973598
-0.33080288,-0.017973581
-0.33904878,-0.013480203
-0.33904881,-0.013480186
-0.34728657,-0.0089868074
-0.3472866,-0.0089867907
-0.35551573,-0.0044934126
-0.35551576,-0.0044933953
-0.3596269,-0.0022467063
-0.35962691,-0.0022466977
-0.3637357,-8.5704386e-9
-0.36373572,0
-0.36373572,0
-0.36441084,0.001579209
-0.36441084,0.0015792151
-0.36443611,0.003158424
-0.36443612,0.0031584301
-0.36231102,0.0063168481
-0.36231102,0.0063168602
-0.35668637,0.0094752777
-0.35668635,0.0094752898
-0.34699278,0.012633708
-0.34699274,0.01263372
-0.32771651,0.016711222
-0.32771644,0.016711237
-0.30000188,0.02078874
-0.30000178,0.020788755
-0.21784742,0.028943758
-0.21784712,0.02894379
-0.058569282,0.039471854
-0.058568686,0.039471895
0.15551355,0.04999996
0.15551436,0.050000001
0.50312164,0.06372638
0.50312296,0.063726433
0.90148749,0.077452816
0.90148899,0.077452868
1.4050035,0.093776375
1.4050054,0.093776435
1.654017,0.10193819
1.6540179,0.10193822
1.8973914,0.11009997
1.8973923,0.1101
2.1755463,0.11980601
2.1755473,0.11980605
2.3086452,0.12465906
2.3086457,0.12465908
2.4374142,0.12951209
2.4374147,0.1295121
2.5615828,0.13436511
2.5615833,0.13436513
2.6218646,0.13679162
2.6218648,0.13679163
2.6809236,0.13921814
2.6809238,0.13921815
2.6996891,0.14
2.6996892,0.14
2.7387412,0.14164466
2.795306,0.14407116
2.7953062,0.14407118
2.8506054,0.14649767
2.8506056,0.14649768
2.9046304,0.14892419
2.9046306,0.1489242
2.9672102,0.15180981
2.9672105,0.15180983
3.0279723,0.15469545
3.0279725,0.15469547
3.086914,0.15758108
3.0869142,0.15758109
3.134921,0.15999998
3.1349211,0.16
3.1349211,0.16
3.1440372,0.16046673
3.1993453,0.16335234
3.1993455,0.16335236
3.252847,0.16623797
3.2528472,0.16623798
3.3045528,0.1691236
3.304553,0.16912362
3.354476,0.17200923
3.3544761,0.17200924
3.4490207,0.17778049
3.4490211,0.17778051
3.5366479,0.18355176
3.5366482,0.18355177
3.6175369,0.18932302
3.6175372,0.18932304
3.6918917,0.19509429
3.691892,0.1950943
3.7721019,0.20195748
3.7721022,0.20195751
3.8437991,0.2088207
3.8437994,0.20882073
3.9074205,0.21568391
3.9074207,0.21568394
3.9634242,0.22254711
3.9634244,0.22254714
4.0122835,0.22941034
4.0122837,0.22941037
4.0544807,0.23627354
4.0544808,0.23627357
4.0905015,0.24313676
4.0905016,0.24313679
4.1208301,0.24999997
4.1208302,0.25
4.1466505,0.25707936
4.1466506,0.25707939
4.1674343,0.26415876
4.1674344,0.26415879
4.1836761,0.27123818
4.1836761,0.27123821
4.1958492,0.27831757
4.1958492,0.2783176
4.2093362,0.29247633
4.2093363,0.29247639
4.2116105,0.30663514
4.2116106,0.3066352
4.2004336,0.3266587
4.2004335,0.32665879
4.178591,0.34668225
4.1785909,0.34668234
4.1505119,0.36670583
4.1505118,0.36670592
4.1352569,0.37671769
4.1352568,0.37671772
4.1194632,0.38672948
4.1194631,0.38672951
4.0965735,0.40088826
4.0965734,0.40088832
4.0734812,0.41504708
4.0734811,0.41504714
4.050494,0.42920586
4.0504939,0.42920592
4.0278194,0.44336468
4.0278193,0.44336474
4.005594,0.45752349
4.0055939,0.45752355
3.9839047,0.47168231
3.9839046,0.47168237
3.9628053,0.48584113
3.9628052,0.48584118
3.9423276,0.49999994
3.9423275,0.5
3.9238701,0.51315784
3.92387,0.5131579
3.9059711,0.52631575
3.9059711,0.52631581
3.8886329,0.53947365
3.8886329,0.53947371
3.871855,0.55263156
3.8718549,0.55263162
3.8556348,0.56578946
3.8556348,0.56578952
3.8399687,0.57894737
3.8399687,0.57894742
3.8102856,0.60526305
3.8102855,0.60526317
3.7698021,0.64473671
3.7698019,0.64473689
3.7339726,0.68421036
3.7339725,0.68421054
3.7026336,0.72368407
3.7026335,0.72368425
3.675621,0.76315773
3.6756209,0.7631579
3.6429061,0.8223682
3.642906,0.82236844
3.6190051,0.88157868
3.619005,0.88157892
3.6033762,0.94078922
3.6033761,0.94078946
3.5954928,0.99999976
3.5954927,1
3.5950258,1.0624998
3.5950258,1.0625
3.6020633,1.1249998
3.6020633,1.125
3.6160867,1.1874998
3.6160868,1.1875
3.6366429,1.2499998
3.6366429,1.25
3.6633952,1.3124998
3.6633953,1.3125
3.6962627,1.3749998
3.6962628,1.375
3.7756898,1.4999998
3.7756899,1.5
3.9859193,1.7499995
3.9859197,1.75
4.2459702,1.9999995
4.2459707,2
4.5418432,2.2499995
4.5418438,2.25
4.8629999,2.4999995
4.8630005,2.5
5.2014187,2.7499995
5.2014193,2.75
5.5509115,2.9999995
5.5509121,3
5.9066434,3.2499995
5.9066441,3.25
6.2647961,3.4999995
6.2647967,3.5
6.622329,3.7499995
6.6223297,3.75
6.9768084,3.9999995
6.9768091,4
7.3262818,4.2499995
7.3262825,4.25
7.6691852,4.4999995
7.6691858,4.5
8.0042719,4.7499995
8.0042726,4.75
8.3305585,4.9999995
8.3305591,5
8.6472813,5.2499995
8.6472819,5.25
8.9538622,5.4999995
8.9538627,5.5
9.24988,5.7499995
9.2498806,5.75
9.5350475,5.9999995
9.5350481,6
9.8091912,6.2499995
9.8091917,6.25
10.072234,6.4999995
10.072235,6.5
10.324183,6.7499995
10.324184,6.75
10.565113,6.9999995
10.565113,7
10.795158,7.2499995
10.795158,7.25
11.014501,7.4999995
11.014502,7.5
11.223367,7.7499995
11.223367,7.75
11.422011,7.9999995
11.422011,8
11.610717,8.25
11.789787,8.5
11.959542,8.75
12.12031,9
12.272428,9.25
12.416239,9.5
12.552082,9.75
12.680299,10
12.801227,10.25
12.915198,10.5
13.022535,10.75
13.123556,11
13.21857,11.25
13.307875,11.5
13.391758,11.75
13.470499,12
13.544363,12.25
13.613606,12.5
13.678474,12.75
13.739199,13
13.796004,13.25
13.8491,13.5
13.898687,13.75
13.944956,14
13.988087,14.25
14.028248,14.5
14.065599,14.75
14.10029,15
14.132463,15.25
14.162248,15.5
14.18977,15.75
14.215142,16
14.238471,16.25
14.259856,16.5
14.279388,16.75
14.29715,17
14.313219,17.25
14.327665,17.5
14.340551,17.75
14.351932,18
14.361859,18.25
14.370375,18.5
14.377518,18.75
14.38332,19
14.387805,19.25
14.390995,19.5
14.392904,19.75
14.393539,20

