Boron,X
none,none
4.7852352e+19,0.16912362
4.6627182e+19,0.17056644
4.5401825e+19,0.17200924
4.4233848e+19,0.17345206
4.30657e+19,0.17489488
4.193653e+19,0.17633769
4.0807198e+19,0.17778051
3.9719313e+19,0.17922333
3.8631277e+19,0.18066615
3.7585167e+19,0.18210897
3.6538919e+19,0.18355177
3.5535705e+19,0.18499459
3.4532366e+19,0.18643741
3.35717e+19,0.18788022
3.2610922e+19,0.18932304
3.1692852e+19,0.19076586
3.0774682e+19,0.19220866
2.9898283e+19,0.19365148
2.9021795e+19,0.1950943
2.8527339e+19,0.19595221
2.8032837e+19,0.1968101
2.7538382e+19,0.197668
2.704388e+19,0.19852591
2.6577445e+19,0.19938381
2.611097e+19,0.20024171
2.5644535e+19,0.2010996
2.5178061e+19,0.20195751
2.4738727e+19,0.20281541
2.4299361e+19,0.20367332
2.3860028e+19,0.20453122
2.3420661e+19,0.20538911
2.3000805e+19,0.20624702
2.2580922e+19,0.20710492
2.2173859e+19,0.20796283
2.1766772e+19,0.20882073
2.1378733e+19,0.20967862
2.0990675e+19,0.21053652
2.0602636e+19,0.21139443
2.0214578e+19,0.21225233
1.9850893e+19,0.21311024
1.9487194e+19,0.21396813
1.9123509e+19,0.21482603
1.8759811e+19,0.21568394
1.8413602e+19,0.21654184
1.8067384e+19,0.21739975
1.7732818e+19,0.21825764
1.7398247e+19,0.21911554
1.707512e+19,0.21997344
1.6751991e+19,0.22083135
1.6440102e+19,0.22168925
1.6128214e+19,0.22254714
1.5833379e+19,0.22340505
1.5538552e+19,0.22426295
1.5243717e+19,0.22512086
1.4948889e+19,0.22597876
1.4401673e+19,0.22769457
1.3854483e+19,0.22941037
1.3349427e+19,0.23112616
1.2844409e+19,0.23284197
1.2380113e+19,0.23455778
1.1915868e+19,0.23627357
1.1492094e+19,0.23798937
1.1068384e+19,0.23970518
1.0681375e+19,0.24142098
1.0294442e+19,0.24313679
9.9434672e+18,0.2448526
9.5925756e+18,0.2465684
9.2754049e+18,0.24828419
8.9583234e+18,0.25
8.6652978e+18,0.25176984
8.3723686e+18,0.25353971
8.1090345e+18,0.25530955
7.8457976e+18,0.25707939
7.6103258e+18,0.25884926
7.3749497e+18,0.2606191
