eQuasiFermiPotential,X
none,none
1.3182279,-0.36621171
1.3182279,-0.36396503
1.3182279,-0.36171833
1.3182279,-0.35947162
1.3182279,-0.35722494
1.3182279,-0.35497823
1.3182279,-0.35048488
1.3182279,-0.35048485
1.3182279,-0.34599146
1.3182279,-0.34599143
1.3182279,-0.34149808
1.3182279,-0.34149805
1.3182279,-0.33251128
1.3182279,-0.33251125
1.3182279,-0.3235245
1.3182279,-0.32352448
1.3182279,-0.30555093
1.3182279,-0.30555087
1.3182279,-0.28757736
1.3182279,-0.2875773
1.3182279,-0.25163028
1.3182279,-0.25163013
1.3182279,-0.21568312
1.3182279,-0.21568298
1.3182279,-0.17973594
1.3182279,-0.17973581
1.3182279,-0.14378878
1.3182279,-0.14378865
1.3182279,-0.12581514
1.3182279,-0.12581506
1.3182279,-0.10784156
1.3182279,-0.10784149
1.3182279,-0.089867972
1.3182279,-0.089867905
1.318228,-0.080881156
1.318228,-0.080881119
1.318228,-0.071894363
1.318228,-0.071894325
1.318228,-0.067400947
1.318228,-0.067400932
1.318228,-0.062907547
1.318228,-0.062907532
1.318228,-0.058414157
1.318228,-0.058414139
1.318228,-0.053920764
1.318228,-0.053920746
1.318228,-0.051674053
1.318228,-0.051674046
1.318228,-0.049999975
1.318228,-0.049999967
1.318228,-0.049999967
5.0286211e-6,-0.049427353
0,-0.049427349
0,-0.04718066
0,-0.047180653
0,-0.04493396
0,-0.044933952
0,-0.040440578
0,-0.040440559
0,-0.035947181
0,-0.035947163
0,-0.033700474
0,-0.033700466
0,-0.031453773
0,-0.031453766
0,-0.030000346
0,-0.03000034
0,-0.03000034
0,-0.029207073
0,-0.029207069
0,-0.026960382
0,-0.026960373
0,-0.024713684
0,-0.024713675
0,-0.022466986
0,-0.022466976
0,-0.017973598
0,-0.017973581
0,-0.013480203
0,-0.013480186
0,-0.0089868074
0,-0.0089867907
0,-0.0044934126
0,-0.0044933953
0,-0.0022467063
0,-0.0022466977
0.72296931,-8.5704386e-9
0.72297206,0
0.72297206,0
0.72297207,0.001579209
0.72297207,0.0015792151
0.72297209,0.003158424
0.72297209,0.0031584301
0.72297216,0.0063168481
0.72297216,0.0063168602
0.72297228,0.0094752777
0.72297228,0.0094752898
