eDensity,X
none,none
3.7236697e+14,15.25
3.7250954e+14,15.5
3.7263581e+14,15.75
3.7274734e+14,16
3.7284557e+14,16.25
3.7293183e+14,16.5
3.7300731e+14,16.75
3.730731e+14,17
3.731302e+14,17.25
3.7317949e+14,17.5
3.7322178e+14,17.75
3.7325778e+14,18
3.7328811e+14,18.25
3.7331332e+14,18.5
3.7333388e+14,18.75
3.7335017e+14,19
3.7336252e+14,19.25
3.7337117e+14,19.5
3.7337628e+14,19.75
3.7337798e+14,20

