AcceptorConcentration,X
none,none
2.4203352e+16,0.14
2.2346817e+16,0.14164466
1.9839121e+16,0.14407116
1.9839111e+16,0.14407118
1.7584687e+16,0.14649767
1.7584678e+16,0.14649768
1.5562059e+16,0.14892419
1.5562051e+16,0.1489242
1.3432093e+16,0.15180981
1.3432085e+16,0.15180983
1.1569477e+16,0.15469545
1.156947e+16,0.15469547
9.9448787e+15,0.15758108
9.9448725e+15,0.15758109
8.7457221e+15,0.15999998
8.7457175e+15,0.16
8.7457175e+15,0.16
8.5297467e+15,0.16046673
7.302827e+15,0.16335234
7.3028223e+15,0.16335236
6.2403061e+15,0.16623797
6.240302e+15,0.16623798
5.3221432e+15,0.1691236
5.3221397e+15,0.16912362
4.5303368e+15,0.17200923
4.5303338e+15,0.17200924
3.2773429e+15,0.17778049
3.2773381e+15,0.17778051
2.3577978e+15,0.18355176
2.3577943e+15,0.18355177
1.6877733e+15,0.18932302
1.6877707e+15,0.18932304
1.2026519e+15,0.19509429
1.20265e+15,0.1950943
8.0240637e+14,0.20195748
8.0240483e+14,0.20195751
5.3389028e+14,0.2088207
5.3388925e+14,0.20882073
3.5484986e+14,0.21568391
3.5484917e+14,0.21568394
2.3604449e+14,0.22254711
2.3604403e+14,0.22254714
1.5747885e+14,0.22941034
1.5747855e+14,0.22941037
1.0562499e+14,0.23627354
1.0562479e+14,0.23627357
7.1415279e+13,0.24313676
7.1415147e+13,0.24313679
4.8818251e+13,0.24999997
4.8818164e+13,0.25
3.3496487e+13,0.25707936
3.3496428e+13,0.25707939
2.3423448e+13,0.26415876
2.3423409e+13,0.26415879
1.6740145e+13,0.27123818
1.6740119e+13,0.27123821
1.2238306e+13,0.27831757
1.2238289e+13,0.2783176
7.407718e+12,0.29247633
7.4076993e+12,0.29247639
5.0552658e+12,0.30663514
5.0552567e+12,0.3066352
3.643436e+12,0.3266587
3.6434306e+12,0.32665879
3.0769592e+12,0.34668225
3.076957e+12,0.34668234
2.8410407e+12,0.36670583
2.8410398e+12,0.36670592
2.778867e+12,0.37671769
2.7788667e+12,0.37671772
2.7397484e+12,0.38672948
2.7397483e+12,0.38672951
2.708229e+12,0.40088826
2.7082289e+12,0.40088832
2.6911515e+12,0.41504708
2.6911515e+12,0.41504714
2.6818018e+12,0.42920586
2.6818017e+12,0.42920592
2.6766615e+12,0.44336468
2.6766615e+12,0.44336474
2.6738318e+12,0.45752349
2.6738318e+12,0.45752355
2.6722722e+12,0.47168231
2.6722722e+12,0.47168237
2.6714094e+12,0.48584113
2.6714094e+12,0.48584118
2.6709284e+12,0.49999994
2.6709284e+12,0.5
2.6706704e+12,0.51315784
2.6706704e+12,0.5131579
2.6705174e+12,0.52631575
2.6705174e+12,0.52631581
2.6704256e+12,0.53947365
2.6704256e+12,0.53947371
2.6703701e+12,0.55263156
2.6703701e+12,0.55263162
2.670337e+12,0.56578946
2.670337e+12,0.56578952
2.6703132e+12,0.57894737
2.6703132e+12,0.57894742
2.6702886e+12,0.60526305
2.6702886e+12,0.60526317
2.6702745e+12,0.64473671
2.6702745e+12,0.64473689
2.6702682e+12,0.68421036
2.6702682e+12,0.68421054
2.6702646e+12,0.72368407
2.6702646e+12,0.72368425
2.6702621e+12,0.76315773
2.6702621e+12,0.7631579
2.6702592e+12,0.8223682
2.6702592e+12,0.82236844
2.6702569e+12,0.88157868
2.6702569e+12,0.88157892
2.6702551e+12,0.94078922
2.6702551e+12,0.94078946
2.6702537e+12,0.99999976
2.6702537e+12,1
2.6702525e+12,1.0624998
2.6702525e+12,1.0625
2.6702515e+12,1.1249998
2.6702515e+12,1.125
2.6702508e+12,1.1874998
2.6702508e+12,1.1875
2.6702501e+12,1.2499998
2.6702501e+12,1.25
2.6702496e+12,1.3124998
2.6702496e+12,1.3125
2.6702492e+12,1.3749998
2.6702492e+12,1.375
2.6702484e+12,1.4999998
2.6702484e+12,1.5
2.6702475e+12,1.7499995
2.6702475e+12,1.75
2.6702467e+12,1.9999995
2.6702467e+12,2
2.6702461e+12,2.2499995
2.6702461e+12,2.25
2.6702456e+12,2.4999995
2.6702456e+12,2.5
2.6702452e+12,2.7499995
2.6702452e+12,2.75
2.6702449e+12,2.9999995
2.6702449e+12,3
2.6702447e+12,3.2499995
2.6702447e+12,3.25
2.6702444e+12,3.4999995
2.6702444e+12,3.5
2.6702443e+12,3.7499995
2.6702443e+12,3.75
2.6702442e+12,3.9999995
2.6702442e+12,4
2.6702441e+12,4.2499995
2.6702441e+12,4.25
2.670244e+12,4.4999995
2.670244e+12,4.5
2.6702439e+12,4.7499995
2.6702439e+12,4.75
2.6702439e+12,4.9999995
2.6702439e+12,5
2.6702438e+12,5.2499995
2.6702438e+12,5.25
2.6702438e+12,5.4999995
2.6702438e+12,5.5
2.6702438e+12,5.7499995
2.6702438e+12,5.75
2.6702437e+12,5.9999995
2.6702437e+12,6
2.6702437e+12,6.2499995
2.6702437e+12,6.25
2.6702437e+12,6.4999995
2.6702437e+12,6.5
2.6702437e+12,6.7499995
2.6702437e+12,6.75
2.6702437e+12,6.9999995
2.6702437e+12,7
2.6702437e+12,7.2499995
2.6702437e+12,7.25
2.6702436e+12,7.4999995
2.6702436e+12,7.5
2.6702436e+12,7.7499995
2.6702436e+12,7.75
2.6702436e+12,7.9999995
2.6702436e+12,8
2.6702436e+12,8.25
2.6702436e+12,8.5
2.6702436e+12,8.75
2.6702436e+12,9
2.6702436e+12,9.25
2.6702436e+12,9.5
2.6702436e+12,9.75
2.6702436e+12,10
2.6702436e+12,10.25
2.6702436e+12,10.5
2.6702436e+12,10.75
2.6702436e+12,11
2.6702436e+12,11.25
2.6702436e+12,11.5
2.6702436e+12,11.75
2.6702436e+12,12
2.6702436e+12,12.25
2.6702436e+12,12.5
2.6702436e+12,12.75
2.6702436e+12,13
2.6702436e+12,13.25
2.6702436e+12,13.5
2.6702436e+12,13.75
2.6702436e+12,14
2.6702436e+12,14.25
2.6702436e+12,14.5
2.6702436e+12,14.75
2.6702436e+12,15
2.6702436e+12,15.25
