eQuasiFermiPotential,X
none,none
-5.5106422e-16,-0.40889898
1.8369018e-16,-0.40665227
3.6737755e-16,-0.40440559
-1.8368947e-16,-0.40215889
-1.4014341e-21,-0.39991218
-7.347558e-16,-0.3976655
-2.1021512e-21,-0.39541879
-1.4014341e-21,-0.39317209
-7.347565e-16,-0.39092541
-1.8368807e-16,-0.3886787
-5.5106772e-16,-0.38643199
7.0071706e-22,-0.38418531
-5.5106352e-16,-0.38193861
5.5106632e-16,-0.3796919
3.6737474e-16,-0.37744522
-1.8369158e-16,-0.37519851
5.5106632e-16,-0.37295181
-2.1021512e-21,-0.37070513
3.6737965e-16,-0.36845842
1.4014341e-21,-0.36621171
3.6737895e-16,-0.36396503
1.4014341e-21,-0.36171833
-7.347572e-16,-0.35947162
7.3475369e-16,-0.35722494
-1.4014341e-21,-0.35497823
-7.3475439e-16,-0.35048488
-7.3475229e-16,-0.35048485
7.347579e-16,-0.34599146
7.347558e-16,-0.34599143
-3.6737685e-16,-0.34149808
-3.6737474e-16,-0.34149805
3.6738035e-16,-0.33251128
3.6737895e-16,-0.33251125
1.8369018e-16,-0.3235245
1.8368667e-16,-0.32352448
-3.6737965e-16,-0.30555093
-3.6737545e-16,-0.30555087
1.8369088e-16,-0.28757736
1.8369018e-16,-0.2875773
3.6737895e-16,-0.25163028
3.6737895e-16,-0.25163013
5.5106772e-16,-0.21568312
5.5106842e-16,-0.21568298
-5.5106422e-16,-0.17973594
-5.5106352e-16,-0.17973581
-1.4695074e-15,-0.14378878
-1.469513e-15,-0.14378865
-3.6738035e-16,-0.12581514
-3.6737755e-16,-0.12581506
-1.8368877e-16,-0.10784156
-1.8369018e-16,-0.10784149
-7.347565e-16,-0.089867972
-7.3475509e-16,-0.089867905
2.7553316e-16,-0.080881156
2.7553211e-16,-0.080881119
-7.3475615e-16,-0.071894363
-7.347558e-16,-0.071894325
3.6737685e-16,-0.067400947
3.6737615e-16,-0.067400932
7.3475369e-16,-0.062907547
7.347579e-16,-0.062907532
2.8028683e-21,-0.058414157
0,-0.058414139
0,-0.053920764
0,-0.053920746
-7.3475509e-16,-0.051674053
-7.3475509e-16,-0.051674046
0,-0.049999975
1.4014341e-21,-0.049999967
