time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge
0.155,1.3182154,1.3182154,0,0,1.5861081e-5,0,1.5861081e-5,3.5511379e-15,0,0,0,0,-1.5860648e-5,0,-1.5860648e-5,1.3725054e-15,1.439392,1.439392,0,0,9.6436048e-12,-9.6436048e-12,0,4.1361805e-15
0.16,1.3182154,1.3182154,0,0,1.5816388e-5,0,1.5816388e-5,3.5438277e-15,0,0,0,0,-1.5816026e-5,0,-1.5816026e-5,1.3724933e-15,1.443301,1.443301,0,0,4.0848169e-12,-4.0848169e-12,0,4.154194e-15
0.165,1.3182154,1.3182154,0,0,1.5755949e-5,0,1.5755949e-5,3.5308232e-15,0,0,0,0,-1.5755761e-5,0,-1.5755761e-5,1.3724822e-15,1.4472099,1.4472099,0,0,2.185891e-13,-2.185891e-13,0,4.17194e-15
0.17,1.3182154,1.3182154,0,0,1.5714548e-5,0,1.5714548e-5,3.5238541e-15,0,0,0,0,-1.5714444e-5,0,-1.5714444e-5,1.3724704e-15,1.4511188,1.4511188,0,0,2.3497721e-12,-2.3497721e-12,0,4.1887878e-15
0.175,1.3182154,1.3182154,0,0,1.56918e-5,0,1.56918e-5,3.5215799e-15,0,0,0,0,-1.5693628e-5,0,-1.5693628e-5,1.3724586e-15,1.4550277,1.4550277,0,0,2.7971631e-11,-2.7971631e-11,0,4.201985e-15
0.18,1.3182154,1.3182154,0,0,1.5628437e-5,0,1.5628437e-5,3.5090275e-15,0,0,0,0,-1.5628232e-5,0,-1.5628232e-5,1.3724465e-15,1.4589366,1.4589366,0,0,-1.3019273e-13,1.3019273e-13,0,4.2235794e-15
0.185,1.3182154,1.3182154,0,0,1.560707e-5,0,1.560707e-5,3.5071649e-15,0,0,0,0,-1.5608276e-5,0,-1.5608276e-5,1.3724347e-15,1.4628456,1.4628456,0,0,2.6420753e-11,-2.6420753e-11,0,4.236664e-15
0.19,1.3182154,1.3182154,0,0,1.557073e-5,0,1.557073e-5,3.5034379e-15,0,0,0,0,-1.5570164e-5,0,-1.5570164e-5,1.3724214e-15,1.4667545,1.4667545,0,0,7.8615599e-12,-7.8615599e-12,0,4.2568351e-15
0.195,1.3182154,1.3182154,0,0,1.5515922e-5,0,1.5515922e-5,3.4920317e-15,0,0,0,0,-1.5515817e-5,0,-1.5515817e-5,1.37241e-15,1.4706634,1.4706634,0,0,1.3374651e-12,-1.3374651e-12,0,4.2750924e-15
0.2,1.3182154,1.3182154,0,0,1.5493582e-5,0,1.5493582e-5,3.4893376e-15,0,0,0,0,-1.549651e-5,0,-1.549651e-5,1.3723987e-15,1.4745723,1.4745723,0,0,3.6440249e-11,-3.6440249e-11,0,4.2868592e-15
0.205,1.3182154,1.3182154,0,0,1.542523e-5,0,1.542523e-5,3.4748206e-15,0,0,0,0,-1.542513e-5,0,-1.542513e-5,1.3723866e-15,1.4784813,1.4784813,0,0,-5.0526568e-16,5.0526568e-16,0,4.3098391e-15
0.21,1.3182154,1.3182154,0,0,1.5397251e-5,0,1.5397251e-5,3.4722047e-15,0,0,0,0,-1.5397236e-5,0,-1.5397236e-5,1.3723739e-15,1.4823902,1.4823902,0,0,3.7962172e-12,-3.7962172e-12,0,4.326563e-15
0.215,1.3182154,1.3182154,0,0,1.5369087e-5,0,1.5369087e-5,3.4699269e-15,0,0,0,0,-1.5369062e-5,0,-1.5369062e-5,1.3723611e-15,1.4862991,1.4862991,0,0,3.7830645e-12,-3.7830645e-12,0,4.3438986e-15
