DopingWells,X
none,none
7,-0.25163028
7,-0.25163013
7,-0.21568312
7,-0.21568298
7,-0.17973594
7,-0.17973581
7,-0.14378878
7,-0.14378865
7,-0.12581514
7,-0.12581506
7,-0.10784156
7,-0.10784149
7,-0.089867972
7,-0.089867905
7,-0.080881156
7,-0.080881119
7,-0.071894363
7,-0.071894325
7,-0.067400947
7,-0.067400932
7,-0.062907547
7,-0.062907532
7,-0.058414157
7,-0.058414139
7,-0.053920764
7,-0.053920746
7,-0.051674053
7,-0.051674046
7,-0.049999975
7,-0.049999967
7,-0.049999967
6.0000038,-0.049427353
6,-0.049427349
6,-0.04718066
6,-0.047180653
6,-0.04493396
6,-0.044933952
6,-0.040440578
6,-0.040440559
6,-0.035947181
6,-0.035947163
6,-0.033700474
6,-0.033700466
6,-0.031453773
6,-0.031453766
6,-0.030000346
6,-0.03000034
6,-0.03000034
6,-0.029207073
6,-0.029207069
6,-0.026960382
6,-0.026960373
6,-0.024713684
6,-0.024713675
6,-0.022466986
6,-0.022466976
6,-0.017973598
6,-0.017973581
6,-0.013480203
6,-0.013480186
6,-0.0089868074
6,-0.0089867907
6,-0.0044934126
6,-0.0044933953
6,-0.0022467063
6,-0.0022466977
2.2888096e-5,-8.5704386e-9
0,0
0,0
0,0.001579209
0,0.0015792151
0,0.003158424
0,0.0031584301
0,0.0063168481
0,0.0063168602
0,0.0094752777
0,0.0094752898
0,0.012633708
0,0.01263372
0,0.016711222
0,0.016711237
0,0.02078874
0,0.020788755
0,0.028943758
0,0.02894379
0,0.039471854
0,0.039471895
0,0.04999996
0,0.050000001
0,0.06372638
0,0.063726433
0,0.077452816
0,0.077452868
2.9999886,0.093776375
3,0.093776435
3,0.10193819
3,0.10193822
3,0.11009997
3,0.1101
3,0.11980601
3,0.11980605
3,0.12465906
3,0.12465908
3,0.12951209
3,0.1295121
3,0.13436511
3,0.13436513
3,0.13679162
3,0.13679163
3,0.13921814
3,0.13921815
3,0.14
3,0.14
3,0.14164466
3,0.14407116
3,0.14407118
3,0.14649767
3,0.14649768
3,0.14892419
3,0.1489242
3,0.15180981
3,0.15180983
3,0.15469545
3,0.15469547
3,0.15758108
3,0.15758109
3,0.15999998
3,0.16
3,0.16
3,0.16046673
3,0.16335234
3,0.16335236
3,0.16623797
3,0.16623798
3,0.1691236
3,0.16912362
3,0.17200923
3,0.17200924
3,0.17778049
3,0.17778051
3,0.18355176
3,0.18355177
3,0.18932302
3,0.18932304
3,0.19509429
3,0.1950943
3,0.20195748
3,0.20195751
3,0.2088207
3,0.20882073
3,0.21568391
3,0.21568394
3,0.22254711
3,0.22254714
3,0.22941034
3,0.22941037
3,0.23627354
3,0.23627357
3,0.24313676
3,0.24313679
3,0.24999997
3,0.25
3,0.25707936
3,0.25707939
3,0.26415876
3,0.26415879
3,0.27123818
3,0.27123821
3,0.27831757
3,0.2783176
3,0.29247633
3,0.29247639
3,0.30663514
3,0.3066352
3,0.3266587
3,0.32665879
3,0.34668225
3,0.34668234
3,0.36670583
3,0.36670592
3,0.37671769
3,0.37671772
3,0.38672948
3,0.38672951
3,0.40088826
3,0.40088832
3,0.41504708
3,0.41504714
3,0.42920586
3,0.42920592
3,0.44336468
3,0.44336474
3,0.45752349
3,0.45752355
3,0.47168231
3,0.47168237
3,0.48584113
3,0.48584118
3,0.49999994
3,0.5
3,0.51315784
3,0.5131579
3,0.52631575
3,0.52631581
3,0.53947365
3,0.53947371
3,0.55263156
3,0.55263162
3,0.56578946
3,0.56578952
3,0.57894737
