DonorConcentration,X
none,none
1.3163046e+14,0.5
8.7020274e+13,0.51315784
8.7020102e+13,0.5131579
5.860056e+13,0.52631575
5.860045e+13,0.52631581
4.0516936e+13,0.53947365
4.0516866e+13,0.53947371
2.9048156e+13,0.55263156
2.9048111e+13,0.55263162
2.1752709e+13,0.56578946
2.1752681e+13,0.56578952
1.655934e+13,0.57894737
1.655932e+13,0.57894742
1.0691089e+13,0.60526305
1.0691067e+13,0.60526317
6.6856045e+12,0.64473671
6.6855894e+12,0.64473689
4.5431065e+12,0.68421036
4.5430983e+12,0.68421054
3.1925118e+12,0.72368407
3.1925066e+12,0.72368425
2.2730097e+12,0.76315773
2.2730062e+12,0.7631579
1.3927638e+12,0.8223682
1.3927604e+12,0.82236844
8.6218634e+11,0.88157868
8.6218432e+11,0.88157892
5.3927977e+11,0.94078922
5.3927854e+11,0.94078946
3.4094506e+11,0.99999976
3.409443e+11,1
2.1309455e+11,1.0624998
2.1309406e+11,1.0625
1.3501692e+11,1.1249998
1.3501662e+11,1.125
8.6705501e+10,1.1874998
8.6705317e+10,1.1875
5.6387575e+10,1.2499998
5.6387459e+10,1.25
3.7188273e+10,1.3124998
3.7188197e+10,1.3125
2.4993351e+10,1.3749998
2.4993309e+10,1.375
1.2207856e+10,1.4999998
1.2207832e+10,1.5
1.0108781e+10,1.7499995
1.0108777e+10,1.75
1.0032213e+10,1.9999995
1.0032213e+10,2
1.0030072e+10,2.2499995
1.0030072e+10,2.25
1.003002e+10,2.4999995
1.003002e+10,2.5
1.0030017e+10,2.7499995
1.0030017e+10,2.75
1.0030015e+10,2.9999995
1.0030015e+10,3
1.0030014e+10,3.2499995
1.0030014e+10,3.25
1.0030013e+10,3.4999995
1.0030013e+10,3.5
1.0030012e+10,3.7499995
1.0030012e+10,3.75
1.0030011e+10,3.9999995
1.0030011e+10,4
1.0030011e+10,4.2499995
1.0030011e+10,4.25
1.003001e+10,4.4999995
1.003001e+10,4.5
1.003001e+10,4.7499995
1.003001e+10,4.75
1.003001e+10,4.9999995
1.003001e+10,5
1.003001e+10,5.2499995
1.003001e+10,5.25
1.0030009e+10,5.4999995
1.0030009e+10,5.5
1.0030009e+10,5.7499995
1.0030009e+10,5.75
1.0030009e+10,5.9999995
1.0030009e+10,6
1.0030009e+10,6.2499995
1.0030009e+10,6.25
1.0030009e+10,6.4999995
1.0030009e+10,6.5
1.0030009e+10,6.7499995
1.0030009e+10,6.75
1.0030009e+10,6.9999995
1.0030009e+10,7
1.0030009e+10,7.2499995
1.0030009e+10,7.25
1.0030009e+10,7.4999995
1.0030009e+10,7.5
1.0030009e+10,7.7499995
1.0030009e+10,7.75
1.0030009e+10,7.9999995
1.0030009e+10,8
1.0030009e+10,8.25
1.0030009e+10,8.5
1.0030009e+10,8.75
1.0030009e+10,9
1.0030008e+10,9.25
1.0030008e+10,9.5
1.0030008e+10,9.75
1.0030008e+10,10
1.0030008e+10,10.25
1.0030008e+10,10.5
1.0030008e+10,10.75
1.0030008e+10,11
1.0030008e+10,11.25
1.0030008e+10,11.5
1.0030008e+10,11.75
1.0030008e+10,12
1.0030008e+10,12.25
1.0030008e+10,12.5
1.0030008e+10,12.75
1.0030008e+10,13
1.0030008e+10,13.25
1.0030008e+10,13.5
1.0030008e+10,13.75
1.0030008e+10,14
1.0030008e+10,14.25
1.0030008e+10,14.5
1.0030008e+10,14.75
1.0030008e+10,15
1.0030008e+10,15.25
1.0030008e+10,15.5
1.0030008e+10,15.75
1.0030008e+10,16
1.0030008e+10,16.25
1.0030008e+10,16.5
1.0030008e+10,16.75
1.0030008e+10,17
1.0030008e+10,17.25
1.0030008e+10,17.5
1.0030008e+10,17.75
1.0030008e+10,18
1.0030008e+10,18.25
1.0030008e+10,18.5
1.0030008e+10,18.75
1.0030008e+10,19
1.0030008e+10,19.25
1.0030008e+10,19.5
1.0030008e+10,19.75
1.0030008e+10,20

