ElectrostaticPotential,X
none,none
0.95532449,1.3125
0.95484949,1.3749998
0.95484949,1.375
0.95431697,1.4999998
0.95431697,1.5
0.95494463,1.7499995
0.95494463,1.75
0.95692488,1.9999995
0.95692488,2
0.95956893,2.2499995
0.95956893,2.25
0.96240564,2.4999995
0.96240565,2.5
0.96514629,2.7499995
0.96514629,2.75
0.96764022,2.9999995
0.96764022,3
0.96983087,3.2499995
0.96983087,3.25
0.97171821,3.4999995
0.97171821,3.5
0.97333073,3.7499995
0.97333073,3.75
0.97470721,3.9999995
0.97470722,4
0.97588658,4.2499995
0.97588659,4.25
0.97690322,4.4999995
0.97690322,4.5
0.97778562,4.7499995
0.97778562,4.75
0.97855669,4.9999995
0.97855669,5
0.97923462,5.2499995
0.97923462,5.25
0.97983388,5.4999995
0.97983388,5.5
0.98036603,5.7499995
0.98036603,5.75
0.98084047,5.9999995
0.98084047,6
0.98126487,6.2499995
0.98126487,6.25
0.98164563,6.4999995
0.98164563,6.5
0.98198808,6.7499995
0.98198808,6.75
0.98229675,6.9999995
0.98229675,7
0.98257548,7.2499995
0.98257548,7.25
0.9828276,7.4999995
0.9828276,7.5
0.98305596,7.7499995
0.98305596,7.75
0.98326305,7.9999995
0.98326305,8
0.98345103,8.25
0.98362182,8.5
0.98377709,8.75
0.98391833,9
0.98404686,9.25
0.98416385,9.5
0.98427036,9.75
0.98436734,10
0.98445563,10.25
0.98453599,10.5
0.98460913,10.75
0.98467566,11
0.98473615,11.25
0.98479113,11.5
0.98484106,11.75
0.98488638,12
0.98492748,12.25
0.98496472,12.5
0.98499843,12.75
0.9850289,13
0.98505643,13.25
0.98508126,13.5
0.98510362,13.75
0.98512374,14
0.98514182,14.25
0.98515802,14.5
0.98517253,14.75
0.9851855,15
0.98519706,15.25
0.98520735,15.5
0.98521648,15.75
0.98522458,16
0.98523173,16.25
0.98523803,16.5
0.98524356,16.75
0.98524839,17
0.98525261,17.25
0.98525626,17.5
0.9852594,17.75
0.98526209,18
0.98526436,18.25
0.98526626,18.5
0.98526781,18.75
0.98526904,19
0.98526998,19.25
0.98527063,19.5
0.98527102,19.75
0.98527115,20

